time,open,high,low,close,volume
1775847185,1.3543,1.3543,1.3543,1.3543,157.28
1775847204,1.3452,1.3452,1.3452,1.3452,156.42
1775847209,0.8548,0.8548,0.8548,0.8548,170.35
1775847214,0.7667,0.7667,0.7667,0.7667,168.85
1775847220,0.5204,0.5204,0.5204,0.5204,182.03
1775847225,0.5314,0.5314,0.5314,0.5314,183.32
1775847230,0.5361,0.5361,0.5361,0.5361,186.33
1775847235,0.6161,0.6161,0.6161,0.6161,218.62
1775847240,0.6409,0.6409,0.6409,0.6409,223.89
1775847245,0.4925,0.4925,0.4925,0.4925,224.01
1775847250,0.3793,0.3793,0.3793,0.3793,224.31
1775847255,0.3646,0.3646,0.3646,0.3646,215.73
1775847260,0.3243,0.3243,0.3243,0.3243,218.72
1775847265,0.3185,0.3185,0.3185,0.3185,221.84
1775847270,0.3286,0.3286,0.3286,0.3286,228.47
1775847275,0.3092,0.3092,0.3092,0.3092,217.69
1775847281,0.2745,0.2745,0.2745,0.2745,193.73
1775847286,0.278,0.278,0.278,0.278,194.13
1775847291,0.256,0.256,0.256,0.256,194.09
1775847298,0.2602,0.2602,0.2602,0.2602,196.38
1775847303,0.2473,0.2473,0.2473,0.2473,205.77
1775847309,0.2557,0.2557,0.2557,0.2557,211.41
1775847314,0.2677,0.2677,0.2677,0.2677,222.29
1775847319,0.2675,0.2675,0.2675,0.2675,221.94
1775847324,0.2616,0.2616,0.2616,0.2616,217.69
1775847330,0.2674,0.2674,0.2674,0.2674,222.09
1775847335,0.2777,0.2777,0.2777,0.2777,230.03
1775847340,0.285,0.285,0.285,0.285,236.5
1775849214,1.0308,1.0308,1.0308,1.0308,132.26
1775849219,1.0432,1.0432,1.0432,1.0432,137.1
